,Year,State,Producer Type,Energy Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
6824,1995,CT,Total Electric Power Industry,Hydroelectric,0,20,147.3,151.4
6825,1995,CT,Total Electric Power Industry,Natural Gas,0,12,424.3,402.6
6826,1995,CT,Total Electric Power Industry,Nuclear,0,2,3424.80,3193.80
6827,1995,CT,Total Electric Power Industry,Other Biomass,0,0,349.6,305.4
6828,1995,CT,Total Electric Power Industry,Petroleum,0,0,2820.70,2752.10
6829,1995,CT,Total Electric Power Industry,Pumped Storage,0,1,7,6
6831,1995,DC,Combined Heat and Power Commercial Power,Coal,0,1,2.8,2.6
6833,1995,DC,Electric Generators Electric Utilities,Petroleum,0,2,868,806
6835,1995,DC,Total Electric Power Industry,Coal,0,0,2.8,2.6
6836,1995,DC,Total Electric Power Industry,Petroleum,0,0,868,806
6838,1995,DE,Combined Heat and Power Industrial Power,Coal,0,2,40.5,37.1
6839,1995,DE,Combined Heat and Power Industrial Power,Natural Gas,0,2,4.5,4.3
6840,1995,DE,Combined Heat and Power Industrial Power,Other Gases,0,2,1.2,1.2
6841,1995,DE,Combined Heat and Power Industrial Power,Petroleum,0,1,140,134.2
6843,1995,DE,Electric Generators Electric Utilities,Coal,0,2,959.2,910
6844,1995,DE,Electric Generators Electric Utilities,Natural Gas,0,4,470.5,511
6845,1995,DE,Electric Generators Electric Utilities,Petroleum,0,8,857.7,817.7
6847,1995,DE,Total Electric Power Industry,Coal,0,0,999.7,947.1
6848,1995,DE,Total Electric Power Industry,Natural Gas,0,5,475,515.3
6849,1995,DE,Total Electric Power Industry,Other Gases,0,1,1.2,1.2
6850,1995,DE,Total Electric Power Industry,Petroleum,0,0,997.7,951.9
6852,1995,FL,Combined Heat and Power Commercial Power,Natural Gas,0,14,54.6,48.1
6853,1995,FL,Combined Heat and Power Commercial Power,Other Biomass,0,0,9,8.7
6854,1995,FL,Combined Heat and Power Commercial Power,Petroleum,0,2,6.5,6.3
6856,1995,FL,Combined Heat and Power Electric Power,Coal,0,3,740,693.4
6857,1995,FL,Combined Heat and Power Electric Power,Natural Gas,0,7,1100.30,945
6858,1995,FL,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,2,139.9,130.1
6860,1995,FL,Combined Heat and Power Industrial Power,Coal,0,2,126.3,118.3
6861,1995,FL,Combined Heat and Power Industrial Power,Natural Gas,0,24,279.9,248.3
6862,1995,FL,Combined Heat and Power Industrial Power,Other,0,18,371.9,346.7
6863,1995,FL,Combined Heat and Power Industrial Power,Other Biomass,0,0,46.1,44.1
6864,1995,FL,Combined Heat and Power Industrial Power,Petroleum,0,4,54,52.1
6865,1995,FL,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,10,348.5,331
6867,1995,FL,Electric Generators Electric Utilities,Coal,0,11,11006.90,10068.80
6868,1995,FL,Electric Generators Electric Utilities,Hydroelectric,0,2,42.3,41
6869,1995,FL,Electric Generators Electric Utilities,Natural Gas,0,40,9401.00,8447.00
6870,1995,FL,Electric Generators Electric Utilities,Nuclear,0,3,4110.50,3822.00
6871,1995,FL,Electric Generators Electric Utilities,Petroleum,0,44,15002.40,13477.70
6873,1995,FL,Electric Generators Independent Power Producers,Natural Gas,0,1,383.5,328.9
6874,1995,FL,Electric Generators Independent Power Producers,Other Biomass,0,0,517.7,480.3
6875,1995,FL,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,4,73.1,68
6877,1995,FL,Total Electric Power Industry,Coal,0,0,11873.20,10880.50
6878,1995,FL,Total Electric Power Industry,Hydroelectric,0,2,42.3,41
6879,1995,FL,Total Electric Power Industry,Natural Gas,0,67,11219.30,10017.20
6880,1995,FL,Total Electric Power Industry,Nuclear,0,3,4110.50,3822.00
6881,1995,FL,Total Electric Power Industry,Other,0,9,371.9,346.7
6882,1995,FL,Total Electric Power Industry,Other Biomass,0,0,572.8,533.1
6883,1995,FL,Total Electric Power Industry,Petroleum,0,0,15062.90,13536.10
6884,1995,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,11,561.5,529.1
6886,1995,GA,Combined Heat and Power Commercial Power,Petroleum,0,20,78.7,76.8
6888,1995,GA,Combined Heat and Power Industrial Power,Coal,0,5,72.3,64.2
6889,1995,GA,Combined Heat and Power Industrial Power,Hydroelectric,0,8,9.5,9.4
6890,1995,GA,Combined Heat and Power Industrial Power,Natural Gas,0,22,122.2,108
6891,1995,GA,Combined Heat and Power Industrial Power,Petroleum,0,12,131.3,124.1
6892,1995,GA,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,30,721.8,687.4
6894,1995,GA,Electric Generators Electric Utilities,Coal,0,12,14490.90,12551.30
6895,1995,GA,Electric Generators Electric Utilities,Hydroelectric,0,30,2175.60,2209.50
6896,1995,GA,Electric Generators Electric Utilities,Natural Gas,0,10,1342.80,1274.20
6897,1995,GA,Electric Generators Electric Utilities,Nuclear,0,2,3950.00,3900.40
6898,1995,GA,Electric Generators Electric Utilities,Petroleum,0,6,1385.90,1230.50
6899,1995,GA,Electric Generators Electric Utilities,Pumped Storage,0,2,1097.80,1123.80
6901,1995,GA,Electric Generators Independent Power Producers,Hydroelectric,0,4,4.4,4.2
6902,1995,GA,Electric Generators Independent Power Producers,Natural Gas,0,2,361.2,307.1
6903,1995,GA,Electric Generators Independent Power Producers,Other Biomass,0,0,2.4,2.3
6904,1995,GA,Electric Generators Independent Power Producers,Petroleum,0,1,2.1,2
6906,1995,GA,Total Electric Power Industry,Coal,0,0,14563.10,12615.50
6907,1995,GA,Total Electric Power Industry,Hydroelectric,0,38,2189.50,2223.10
6908,1995,GA,Total Electric Power Industry,Natural Gas,0,24,1826.10,1689.40
6909,1995,GA,Total Electric Power Industry,Nuclear,0,2,3950.00,3900.40
6910,1995,GA,Total Electric Power Industry,Other Biomass,0,0,2.4,2.3
6911,1995,GA,Total Electric Power Industry,Petroleum,0,0,1598.00,1433.40
6912,1995,GA,Total Electric Power Industry,Pumped Storage,0,2,1097.80,1123.80
6913,1995,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,15,721.8,687.4
6915,1995,HI,Combined Heat and Power Electric Power,Coal,0,2,227.8,213.2
6916,1995,HI,Combined Heat and Power Electric Power,Petroleum,0,1,299.5,257.5
6918,1995,HI,Combined Heat and Power Industrial Power,Hydroelectric,0,14,15.2,14.8
6919,1995,HI,Combined Heat and Power Industrial Power,Other Biomass,0,0,126.3,120.4
6920,1995,HI,Combined Heat and Power Industrial Power,Other Gases,0,2,9,7.7
6921,1995,HI,Combined Heat and Power Industrial Power,Petroleum,0,2,20.8,17.7
6923,1995,HI,Electric Generators Electric Utilities,Hydroelectric,0,2,3.4,3.4
6924,1995,HI,Electric Generators Electric Utilities,Petroleum,0,17,1655.40,1598.20
6926,1995,HI,Electric Generators Independent Power Producers,Geothermal,0,1,35,32.6
6927,1995,HI,Electric Generators Independent Power Producers,Hydroelectric,0,1,10.4,9.9
6928,1995,HI,Electric Generators Independent Power Producers,Other Biomass,0,0,66.8,61.8
6929,1995,HI,Electric Generators Independent Power Producers,Wind,0,3,21.8,21.8
6931,1995,HI,Total Electric Power Industry,Coal,0,0,227.8,213.2
6932,1995,HI,Total Electric Power Industry,Geothermal,0,1,35,32.6
6933,1995,HI,Total Electric Power Industry,Hydroelectric,0,10,28.9,28.1
6934,1995,HI,Total Electric Power Industry,Other Biomass,0,0,193,182.2
6935,1995,HI,Total Electric Power Industry,Other Gases,0,1,9,7.7
6936,1995,HI,Total Electric Power Industry,Petroleum,0,0,1975.60,1873.50
6937,1995,HI,Total Electric Power Industry,Wind,0,3,21.8,21.8
6939,1995,IA,Combined Heat and Power Commercial Power,Coal,0,2,28.5,26.5
6940,1995,IA,Combined Heat and Power Commercial Power,Natural Gas,0,2,3.5,3.4
6941,1995,IA,Combined Heat and Power Commercial Power,Other Biomass,0,0,1.8,1.8
6943,1995,IA,Combined Heat and Power Electric Power,Coal,0,1,33,30.6
6944,1995,IA,Combined Heat and Power Electric Power,Other Biomass,0,0,4.8,4.7
6946,1995,IA,Combined Heat and Power Industrial Power,Coal,0,7,247.3,231
6948,1995,IA,Electric Generators Electric Utilities,Coal,0,22,6297.60,5994.90
6949,1995,IA,Electric Generators Electric Utilities,Hydroelectric,0,7,133.7,133.8
6950,1995,IA,Electric Generators Electric Utilities,Natural Gas,0,57,961.5,825
6951,1995,IA,Electric Generators Electric Utilities,Nuclear,0,1,597.2,528
6952,1995,IA,Electric Generators Electric Utilities,Petroleum,0,64,863.3,755.3
6953,1995,IA,Electric Generators Electric Utilities,Wind,0,1,0.1,0.1
6955,1995,IA,Electric Generators Independent Power Producers,Hydroelectric,0,2,5.4,5.2
6956,1995,IA,Electric Generators Independent Power Producers,Petroleum,0,13,54.5,53.1
6958,1995,IA,Total Electric Power Industry,Coal,0,0,6606.40,6282.90
6959,1995,IA,Total Electric Power Industry,Hydroelectric,0,9,139.1,139
6960,1995,IA,Total Electric Power Industry,Natural Gas,0,58,965,828.4
6961,1995,IA,Total Electric Power Industry,Nuclear,0,1,597.2,528
6962,1995,IA,Total Electric Power Industry,Other Biomass,0,0,6.6,6.4
6963,1995,IA,Total Electric Power Industry,Petroleum,0,0,917.8,808.4
6964,1995,IA,Total Electric Power Industry,Wind,0,1,0.1,0.1
6966,1995,ID,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,2,12.5,11.6
6968,1995,ID,Combined Heat and Power Industrial Power,Coal,0,2,19.5,18.1
6969,1995,ID,Combined Heat and Power Industrial Power,Other,0,2,15.9,14.8
6970,1995,ID,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,4,127,118.7
6972,1995,ID,Electric Generators Electric Utilities,Hydroelectric,0,44,2203.10,2417.70
6973,1995,ID,Electric Generators Electric Utilities,Natural Gas,0,1,167,136
6974,1995,ID,Electric Generators Electric Utilities,Petroleum,0,1,5,5.5
6976,1995,ID,Electric Generators Independent Power Producers,Hydroelectric,0,32,264.6,251.3
6978,1995,ID,Total Electric Power Industry,Coal,0,0,19.5,18.1
6979,1995,ID,Total Electric Power Industry,Hydroelectric,0,76,2467.60,2669.00
6980,1995,ID,Total Electric Power Industry,Natural Gas,0,1,167,136
6981,1995,ID,Total Electric Power Industry,Other,0,1,15.9,14.8
6982,1995,ID,Total Electric Power Industry,Petroleum,0,0,5,5.5
6983,1995,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,0,4,139.5,130.4
6985,1995,IL,Combined Heat and Power Commercial Power,Coal,0,1,15,13.9
6986,1995,IL,Combined Heat and Power Commercial Power,Hydroelectric,0,2,1.2,1.1
6987,1995,IL,Combined Heat and Power Commercial Power,Natural Gas,0,24,57.6,53.3
6988,1995,IL,Combined Heat and Power Commercial Power,Other Biomass,0,0,3,2.6
6990,1995,IL,Combined Heat and Power Electric Power,Natural Gas,0,2,3.8,3.7
6991,1995,IL,Combined Heat and Power Electric Power,Other Biomass,0,0,3.9,3.3
6993,1995,IL,Combined Heat and Power Industrial Power,Coal,0,8,361.9,337.8
6994,1995,IL,Combined Heat and Power Industrial Power,Natural Gas,0,66,201.1,181.8
6995,1995,IL,Combined Heat and Power Industrial Power,Other Gases,0,8,52.2,49.9
6996,1995,IL,Combined Heat and Power Industrial Power,Petroleum,0,1,1.6,1.5
6998,1995,IL,Electric Generators Electric Utilities,Coal,0,24,17037.80,14916.00
6999,1995,IL,Electric Generators Electric Utilities,Hydroelectric,0,3,6.9,5.7
7000,1995,IL,Electric Generators Electric Utilities,Natural Gas,0,35,3241.00,2962.90
7001,1995,IL,Electric Generators Electric Utilities,Nuclear,0,7,13734.30,12609.00
7002,1995,IL,Electric Generators Electric Utilities,Petroleum,0,32,2993.00,2645.20
7004,1995,IL,Electric Generators Independent Power Producers,Hydroelectric,0,2,17.1,16.7
7005,1995,IL,Electric Generators Independent Power Producers,Natural Gas,0,1,2.4,2.3
7006,1995,IL,Electric Generators Independent Power Producers,Other Biomass,0,0,28.2,24.9
7008,1995,IL,Total Electric Power Industry,Coal,0,0,17414.70,15267.70
7009,1995,IL,Total Electric Power Industry,Hydroelectric,0,6,25.2,23.5
7010,1995,IL,Total Electric Power Industry,Natural Gas,0,83,3505.90,3204.00
7011,1995,IL,Total Electric Power Industry,Nuclear,0,7,13734.30,12609.00
7012,1995,IL,Total Electric Power Industry,Other Biomass,0,0,35.1,30.7
7013,1995,IL,Total Electric Power Industry,Other Gases,0,4,52.2,49.9
7014,1995,IL,Total Electric Power Industry,Petroleum,0,0,2994.60,2646.80
7016,1995,IN,Combined Heat and Power Commercial Power,Coal,0,2,51.3,47.8
7017,1995,IN,Combined Heat and Power Commercial Power,Natural Gas,0,6,4.6,3.9
7018,1995,IN,Combined Heat and Power Commercial Power,Other Biomass,0,0,6.5,6.1
7019,1995,IN,Combined Heat and Power Commercial Power,Petroleum,0,1,5.4,5.1
7021,1995,IN,Combined Heat and Power Industrial Power,Coal,0,5,203.4,188.6
7022,1995,IN,Combined Heat and Power Industrial Power,Natural Gas,0,12,233.3,226.7
7023,1995,IN,Combined Heat and Power Industrial Power,Other Gases,0,6,329,317.8
7024,1995,IN,Combined Heat and Power Industrial Power,Petroleum,0,3,8.8,8.3
7026,1995,IN,Electric Generators Electric Utilities,Coal,0,29,20881.50,18844.00
7027,1995,IN,Electric Generators Electric Utilities,Hydroelectric,0,5,89.4,67.9
7028,1995,IN,Electric Generators Electric Utilities,Natural Gas,0,14,1305.00,1086.90
7029,1995,IN,Electric Generators Electric Utilities,Other Gases,0,0,304.5,228
7030,1995,IN,Electric Generators Electric Utilities,Petroleum,0,12,519.4,485.6
7032,1995,IN,Electric Generators Independent Power Producers,Other Biomass,0,0,8,7.8
7034,1995,IN,Total Electric Power Industry,Coal,0,0,21136.20,19080.40
7035,1995,IN,Total Electric Power Industry,Hydroelectric,0,5,89.4,67.9
7036,1995,IN,Total Electric Power Industry,Natural Gas,0,23,1542.90,1317.50
7037,1995,IN,Total Electric Power Industry,Other Biomass,0,0,14.5,13.9
7038,1995,IN,Total Electric Power Industry,Other Gases,0,3,633.5,545.8
7039,1995,IN,Total Electric Power Industry,Petroleum,0,0,533.5,499
7041,1995,KS,Combined Heat and Power Commercial Power,Natural Gas,0,2,4.9,4.8
7043,1995,KS,Combined Heat and Power Industrial Power,Natural Gas,0,12,43.8,38.1
7044,1995,KS,Combined Heat and Power Industrial Power,Petroleum,0,2,4.4,4.3
7046,1995,KS,Electric Generators Electric Utilities,Coal,0,9,5633.80,5244.00
7047,1995,KS,Electric Generators Electric Utilities,Natural Gas,0,83,2934.80,2685.40
7048,1995,KS,Electric Generators Electric Utilities,Nuclear,0,1,1235.80,1167.00
7049,1995,KS,Electric Generators Electric Utilities,Petroleum,0,26,671.3,578.9
7051,1995,KS,Electric Generators Independent Power Producers,Hydroelectric,0,1,2.2,2.2
7053,1995,KS,Total Electric Power Industry,Coal,0,0,5633.80,5244.00
7054,1995,KS,Total Electric Power Industry,Hydroelectric,0,1,2.2,2.2
7055,1995,KS,Total Electric Power Industry,Natural Gas,0,90,2983.50,2728.30
7056,1995,KS,Total Electric Power Industry,Nuclear,0,1,1235.80,1167.00
7057,1995,KS,Total Electric Power Industry,Petroleum,0,0,675.7,583.2
7059,1995,KY,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,2,4,3.7
7061,1995,KY,Electric Generators Electric Utilities,Coal,0,22,16118.40,14011.10
7062,1995,KY,Electric Generators Electric Utilities,Hydroelectric,0,7,747.7,788.9
7063,1995,KY,Electric Generators Electric Utilities,Natural Gas,0,7,485,439
7064,1995,KY,Electric Generators Electric Utilities,Petroleum,0,3,227.8,186.1
7066,1995,KY,Total Electric Power Industry,Coal,0,0,16118.40,14011.10
7067,1995,KY,Total Electric Power Industry,Hydroelectric,0,7,747.7,788.9
7068,1995,KY,Total Electric Power Industry,Natural Gas,0,7,485,439
7069,1995,KY,Total Electric Power Industry,Petroleum,0,0,227.8,186.1
7070,1995,KY,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,4,3.7
7072,1995,LA,Combined Heat and Power Commercial Power,Natural Gas,0,2,7.5,7.1
7074,1995,LA,Combined Heat and Power Electric Power,Petroleum,0,0,200,192.2
7076,1995,LA,Combined Heat and Power Industrial Power,Coal,0,1,8.5,8
7077,1995,LA,Combined Heat and Power Industrial Power,Natural Gas,0,62,2050.30,1777.00
7078,1995,LA,Combined Heat and Power Industrial Power,Other,0,2,22,21.1
7079,1995,LA,Combined Heat and Power Industrial Power,Other Biomass,0,0,5.5,5.1
7080,1995,LA,Combined Heat and Power Industrial Power,Other Gases,0,6,85,81.9
7081,1995,LA,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,18,494.9,471.1
7083,1995,LA,Electric Generators Electric Utilities,Coal,0,4,3039.20,2843.00
7084,1995,LA,Electric Generators Electric Utilities,Natural Gas,0,31,13061.20,12130.00
7085,1995,LA,Electric Generators Electric Utilities,Nuclear,0,2,2235.90,2011.00
7086,1995,LA,Electric Generators Electric Utilities,Petroleum,0,1,36.7,35
7088,1995,LA,Electric Generators Independent Power Producers,Hydroelectric,0,1,192,182.4
7089,1995,LA,Electric Generators Independent Power Producers,Natural Gas,0,1,40,38.4
7090,1995,LA,Electric Generators Independent Power Producers,Other Biomass,0,0,11.3,10.5
7092,1995,LA,Total Electric Power Industry,Coal,0,0,3047.70,2851.00
7093,1995,LA,Total Electric Power Industry,Hydroelectric,0,1,192,182.4
7094,1995,LA,Total Electric Power Industry,Natural Gas,0,65,15159.00,13952.50
7095,1995,LA,Total Electric Power Industry,Nuclear,0,2,2235.90,2011.00
7096,1995,LA,Total Electric Power Industry,Other,0,1,22,21.1
7097,1995,LA,Total Electric Power Industry,Other Biomass,0,0,16.8,15.6
7098,1995,LA,Total Electric Power Industry,Other Gases,0,3,85,81.9
7099,1995,LA,Total Electric Power Industry,Petroleum,0,0,236.7,227.2
7100,1995,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,9,494.9,471.1
7102,1995,MA,Combined Heat and Power Commercial Power,Natural Gas,0,12,70.9,62.6
7103,1995,MA,Combined Heat and Power Commercial Power,Other Biomass,0,0,6,5.9
7104,1995,MA,Combined Heat and Power Commercial Power,Petroleum,0,1,80,73.1
7106,1995,MA,Combined Heat and Power Electric Power,Coal,0,1,22,20.6
7107,1995,MA,Combined Heat and Power Electric Power,Natural Gas,0,7,897.8,772.8
7108,1995,MA,Combined Heat and Power Electric Power,Other Biomass,0,0,9.4,8.8
7110,1995,MA,Combined Heat and Power Industrial Power,Coal,0,2,11.3,10.5
7111,1995,MA,Combined Heat and Power Industrial Power,Hydroelectric,0,8,5.6,5.6
7112,1995,MA,Combined Heat and Power Industrial Power,Natural Gas,0,22,95.1,87.2
7113,1995,MA,Combined Heat and Power Industrial Power,Other Biomass,0,0,21.4,20.5
7114,1995,MA,Combined Heat and Power Industrial Power,Petroleum,0,6,36.4,32.2
7116,1995,MA,Electric Generators Electric Utilities,Coal,0,4,1764.10,1707.00
7117,1995,MA,Electric Generators Electric Utilities,Hydroelectric,0,21,201.3,207.5
7118,1995,MA,Electric Generators Electric Utilities,Natural Gas,0,14,1009.30,993.2
7119,1995,MA,Electric Generators Electric Utilities,Nuclear,0,1,655.4,668.6
7120,1995,MA,Electric Generators Electric Utilities,Petroleum,0,24,4547.00,4058.30
7121,1995,MA,Electric Generators Electric Utilities,Pumped Storage,0,2,1446.00,1652.80
7122,1995,MA,Electric Generators Electric Utilities,Wind,0,1,0.3,0.5
7124,1995,MA,Electric Generators Independent Power Producers,Hydroelectric,0,9,53.8,51.8
7125,1995,MA,Electric Generators Independent Power Producers,Natural Gas,0,3,257.2,221.5
7126,1995,MA,Electric Generators Independent Power Producers,Other Biomass,0,0,279.5,260.1
7127,1995,MA,Electric Generators Independent Power Producers,Petroleum,0,1,69,59.1
7128,1995,MA,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,1,18,16.7
7130,1995,MA,Total Electric Power Industry,Coal,0,0,1797.40,1738.00
7131,1995,MA,Total Electric Power Industry,Hydroelectric,0,34,260.7,264.8
7132,1995,MA,Total Electric Power Industry,Natural Gas,0,41,2330.30,2137.20
7133,1995,MA,Total Electric Power Industry,Nuclear,0,1,655.4,668.6
7134,1995,MA,Total Electric Power Industry,Other Biomass,0,0,316.3,295.3
7135,1995,MA,Total Electric Power Industry,Petroleum,0,0,4732.40,4222.70
7136,1995,MA,Total Electric Power Industry,Pumped Storage,0,2,1446.00,1652.80
7137,1995,MA,Total Electric Power Industry,Wind,0,1,0.3,0.5
7138,1995,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,18,16.7
7140,1995,MD,Combined Heat and Power Commercial Power,Other Biomass,0,0,3.8,3.6
7141,1995,MD,Combined Heat and Power Commercial Power,Petroleum,0,1,2,2
7142,1995,MD,Combined Heat and Power Commercial Power,Wood and Wood Derived Fuels,0,2,3.9,3.6
7144,1995,MD,Combined Heat and Power Electric Power,Natural Gas,0,1,169,162.4
7145,1995,MD,Combined Heat and Power Electric Power,Other Biomass,0,0,60.2,56
7147,1995,MD,Combined Heat and Power Industrial Power,Coal,0,1,65,60.3
7148,1995,MD,Combined Heat and Power Industrial Power,Natural Gas,0,2,10,9.6
7150,1995,MD,Electric Generators Electric Utilities,Coal,0,7,4942.50,4636.00
7151,1995,MD,Electric Generators Electric Utilities,Hydroelectric,0,2,493.7,530
7152,1995,MD,Electric Generators Electric Utilities,Natural Gas,0,8,2995.90,2722.30
7153,1995,MD,Electric Generators Electric Utilities,Nuclear,0,1,1828.70,1675.00
7154,1995,MD,Electric Generators Electric Utilities,Petroleum,0,18,1501.10,1394.10
7156,1995,MD,Electric Generators Independent Power Producers,Other Biomass,0,0,70.7,65.9
7158,1995,MD,Total Electric Power Industry,Coal,0,0,5007.50,4696.30
7159,1995,MD,Total Electric Power Industry,Hydroelectric,0,2,493.7,530
7160,1995,MD,Total Electric Power Industry,Natural Gas,0,10,3174.90,2894.30
7161,1995,MD,Total Electric Power Industry,Nuclear,0,1,1828.70,1675.00
7162,1995,MD,Total Electric Power Industry,Other Biomass,0,0,134.7,125.5
7163,1995,MD,Total Electric Power Industry,Petroleum,0,0,1503.10,1396.00
7164,1995,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1,3.9,3.6
7166,1995,ME,Combined Heat and Power Commercial Power,Other Biomass,0,0,30.3,28.2
7168,1995,ME,Combined Heat and Power Electric Power,Coal,0,1,102,95.6
7169,1995,ME,Combined Heat and Power Electric Power,Wood and Wood Derived Fuels,0,1,21.1,19.6
7171,1995,ME,Combined Heat and Power Industrial Power,Hydroelectric,0,18,248.1,245.8
7172,1995,ME,Combined Heat and Power Industrial Power,Petroleum,0,5,206.4,196
7173,1995,ME,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,18,424.8,402.3
7175,1995,ME,Electric Generators Electric Utilities,Hydroelectric,0,45,386.5,420.9
7176,1995,ME,Electric Generators Electric Utilities,Nuclear,0,1,920,870
7177,1995,ME,Electric Generators Electric Utilities,Petroleum,0,16,1129.70,1108.90
7178,1995,ME,Electric Generators Electric Utilities,Wood and Wood Derived Fuels,0,0,32,32
7180,1995,ME,Electric Generators Independent Power Producers,Hydroelectric,0,19,111.4,106
7181,1995,ME,Electric Generators Independent Power Producers,Other Biomass,0,0,35.3,32.9
7182,1995,ME,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,9,248.4,231.4
7184,1995,ME,Total Electric Power Industry,Coal,0,0,102,95.6
7185,1995,ME,Total Electric Power Industry,Hydroelectric,0,73,745.9,772.7
7186,1995,ME,Total Electric Power Industry,Nuclear,0,1,920,870
7187,1995,ME,Total Electric Power Industry,Other Biomass,0,0,65.6,61
7188,1995,ME,Total Electric Power Industry,Petroleum,0,0,1336.00,1304.90
7189,1995,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,0,19,726.3,685.3
7191,1995,MI,Combined Heat and Power Commercial Power,Coal,0,1,56.5,52.5
7192,1995,MI,Combined Heat and Power Commercial Power,Natural Gas,0,6,6.8,6.5
7193,1995,MI,Combined Heat and Power Commercial Power,Other Biomass,0,0,72.1,67.1
7194,1995,MI,Combined Heat and Power Commercial Power,Petroleum,0,1,2.5,2.4
7196,1995,MI,Combined Heat and Power Electric Power,Coal,0,1,60,56.2
7197,1995,MI,Combined Heat and Power Electric Power,Natural Gas,0,4,2043.40,1757.20
7199,1995,MI,Combined Heat and Power Industrial Power,Coal,0,11,597.8,545.5
7200,1995,MI,Combined Heat and Power Industrial Power,Hydroelectric,0,6,4.6,4.6
7201,1995,MI,Combined Heat and Power Industrial Power,Natural Gas,0,22,78.9,71.2
7202,1995,MI,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,4,125.8,118.5
7204,1995,MI,Electric Generators Electric Utilities,Coal,0,25,12726.80,11794.50
7205,1995,MI,Electric Generators Electric Utilities,Hydroelectric,0,62,350.8,262.6
7206,1995,MI,Electric Generators Electric Utilities,Natural Gas,0,37,1555.50,1434.00
7207,1995,MI,Electric Generators Electric Utilities,Nuclear,0,4,4326.00,3989.00
7208,1995,MI,Electric Generators Electric Utilities,Other Gases,0,0,11.5,10.5
7209,1995,MI,Electric Generators Electric Utilities,Petroleum,0,52,2880.30,2618.30
7210,1995,MI,Electric Generators Electric Utilities,Pumped Storage,0,1,1978.80,1871.70
7212,1995,MI,Electric Generators Independent Power Producers,Hydroelectric,0,10,22.2,21.3
7213,1995,MI,Electric Generators Independent Power Producers,Natural Gas,0,1,6.7,5.7
7214,1995,MI,Electric Generators Independent Power Producers,Other Biomass,0,0,57.9,55.5
7215,1995,MI,Electric Generators Independent Power Producers,Wood and Wood Derived Fuels,0,6,173.1,161
7217,1995,MI,Total Electric Power Industry,Coal,0,0,13441.10,12448.70
7218,1995,MI,Total Electric Power Industry,Hydroelectric,0,75,377.6,288.4
7219,1995,MI,Total Electric Power Industry,Natural Gas,0,56,3691.30,3274.50
7220,1995,MI,Total Electric Power Industry,Nuclear,0,4,4326.00,3989.00
7221,1995,MI,Total Electric Power Industry,Other Biomass,0,0,130,122.6
7222,1995,MI,Total Electric Power Industry,Other Gases,0,0,11.5,10.5
7223,1995,MI,Total Electric Power Industry,Petroleum,0,0,2882.80,2620.80
7224,1995,MI,Total Electric Power Industry,Pumped Storage,0,1,1978.80,1871.70
7225,1995,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,0,8,298.9,279.5
7227,1995,MN,Combined Heat and Power Commercial Power,Natural Gas,0,6,20,19.2
7228,1995,MN,Combined Heat and Power Commercial Power,Other Biomass,0,0,4.2,3.9
7229,1995,MN,Combined Heat and Power Commercial Power,Petroleum,0,2,10.3,9.9
7231,1995,MN,Combined Heat and Power Industrial Power,Coal,0,9,371.2,344.5
7232,1995,MN,Combined Heat and Power Industrial Power,Hydroelectric,0,10,51.3,50.7
7233,1995,MN,Combined Heat and Power Industrial Power,Natural Gas,0,4,31.6,30.7
7234,1995,MN,Combined Heat and Power Industrial Power,Petroleum,0,2,6.5,6.3
7235,1995,MN,Combined Heat and Power Industrial Power,Wood and Wood Derived Fuels,0,8,78.1,74.4
7237,1995,MN,Electric Generators Electric Utilities,Coal,0,19,5637.90,5630.20
7238,1995,MN,Electric Generators Electric Utilities,Hydroelectric,0,22,141.8,142.1
7239,1995,MN,Electric Generators Electric Utilities,Natural Gas,0,34,492.4,453.5
7240,1995,MN,Electric Generators Electric Utilities,Nuclear,0,2,1755.00,1571.00
7241,1995,MN,Electric Generators Electric Utilities,Other Biomass,0,0,93.7,82.1
7242,1995,MN,Electric Generators Electric Utilities,Petroleum,0,52,1121.80,1044.40
7243,1995,MN,Electric Generators Electric Utilities,Wind,0,1,0.2,0
